wafer_entity_start_date,ENT,Layer,Revison,Coater,zone,chart_value,
14/12/2021 09:57,TB207,13800,Rev A,4,999,13.92666667,
14/12/2021 09:57,TB207,13800,Rev A,4,-1,3066.493333,
14/12/2021 10:03,TB207,13800,Rev C,4,999,12.43333333,
14/12/2021 10:03,TB207,13800,Rev C,4,2,3079.293333,
14/12/2021 10:04,TB207,13800,Rev C,3,999,13.86666667,
14/12/2021 10:04,TB207,13800,Rev C,3,-1,3059.766667,
15/12/2021 09:22,TB207,6300,Rev A,4,1,4.9,
15/12/2021 09:22,TB207,6300,Rev A,4,-1,1397.1,
15/12/2021 09:23,TB207,6300,Rev A,3,2,5.3,
15/12/2021 09:23,TB207,6300,Rev A,3,-1,1397.54,
15/12/2021 10:03,TB207,6300,Rev C,4,3,5.94,
15/12/2021 10:03,TB207,6300,Rev C,4,1,1402.026667,
15/12/2021 10:04,TB207,6300,Rev C,3,2,5.233333333,
15/12/2021 10:04,TB207,6300,Rev C,3,1,1401.813333,
16/12/2021 13:27,TB207,6300,Rev A,3,2,5.2,
16/12/2021 13:27,TB207,6300,Rev A,3,1,1400.713333,
16/12/2021 13:31,TB207,6300,Rev A,4,999,4.013333333,
16/12/2021 13:31,TB207,6300,Rev A,4,-1,1398.146667,
19/12/2021 13:10,TB207,13800,Rev A,3,999,13.54,
19/12/2021 13:10,TB207,13800,Rev A,3,-3,3045.126667,
19/12/2021 14:29,TB207,13800,Rev A,3,1,15.73333333,
19/12/2021 14:29,TB207,13800,Rev A,3,-3,3040.153333,
19/12/2021 17:03,TB101,13800,Rev A,3,2,17.75333333,
19/12/2021 17:03,TB102,13800,Rev A,3,-1,3059.293333,
19/12/2021 17:03,TB103,13800,Rev C,3,3,20.43333333,
19/12/2021 17:03,TB104,13800,Rev C,3,-1,3063.973333,
21/12/2021 17:03,TB105,8400,Rev C,3,3,10.48,
21/12/2021 17:03,TB106,8400,Rev C,3,1,1867.873333,
21/12/2021 17:09,TB107,6300,Rev A,3,1,4.866666667,
21/12/2021 17:09,TB108,6300,Rev A,3,-1,1396.506667,
21/12/2021 17:22,TB109,6300,Rev C,4,2,5.373333333,
21/12/2021 17:22,TB110,6300,Rev C,4,1,1402.286667,
21/12/2021 17:28,TB111,8400,Rev A,3,4,12.52666667,
21/12/2021 17:28,TB112,8400,Rev A,3,1,1871.686667,
21/12/2021 17:32,TB113,8400,Rev A,4,999,6.453333333,
21/12/2021 17:32,TB114,8400,Rev A,4,-1,1860.353333,
21/12/2021 18:24,TB115,6300,Rev C,3,3,6.026666667,
21/12/2021 18:24,TB116,6300,Rev C,3,-3,1390.9,
21/12/2021 18:24,TB117,6300,Rev A,4,999,4.246666667,
21/12/2021 18:24,TB118,6300,Rev A,4,-1,1398.12,
21/12/2021 18:31,TB119,8400,Rev C,4,1,8.273333333,
21/12/2021 18:31,TB120,8400,Rev C,4,-2,1855.126667,
21/12/2021 18:35,TB121,8400,Rev A,3,4,11.56,
21/12/2021 18:35,TB122,8400,Rev A,3,-1,1864.046667,
21/12/2021 19:13,TB123,8400,Rev A,4,999,5.613333333,
21/12/2021 19:13,TB124,8400,Rev A,4,-3,1850.173333,
21/12/2021 20:02,TB125,8400,Rev A,3,2,9.186666667,
21/12/2021 20:02,TB126,8400,Rev A,3,1,1869.513333,
21/12/2021 20:28,TB127,6300,Rev C,3,3,6.146666667,
21/12/2021 20:28,TB128,6300,Rev C,3,-2,1395.44,
21/12/2021 20:34,TB129,8400,Rev A,3,2,8.486666667,
21/12/2021 20:34,TB130,8400,Rev A,3,1,1870.513333,
22/12/2021 09:30,TB131,13800,Rev A,4,999,13.56666667,
22/12/2021 09:30,TB132,13800,Rev A,4,-1,3064.353333,
22/12/2021 09:44,TB133,13800,Rev A,3,1,15.94666667,
22/12/2021 09:44,TB134,13800,Rev A,3,1,3072.36,
22/12/2021 10:18,TB135,13800,Rev C,3,999,14.82666667,
22/12/2021 10:18,TB136,13800,Rev C,3,1,3074.873333,
22/12/2021 10:18,TB137,13800,Rev C,4,999,14.26,
22/12/2021 10:18,TB138,13800,Rev C,4,1,3074.253333,
22/12/2021 11:35,TB139,8400,Rev A,3,1,7.54,
22/12/2021 11:35,TB140,8400,Rev A,3,2,1876.22,
22/12/2021 11:59,TB141,8400,Rev A,4,999,6.06,
22/12/2021 11:59,TB142,8400,Rev A,4,1,1868.5,
23/12/2021 04:59,TB143,13800,Rev A,4,1,15.42666667,
23/12/2021 04:59,TB144,13800,Rev A,4,-1,3063.486667,
23/12/2021 05:39,TB145,13800,Rev C,4,999,15.32,
23/12/2021 05:39,TB146,13800,Rev C,4,-1,3065.68,
23/12/2021 10:33,TB147,8400,Rev C,3,999,6.366666667,
23/12/2021 10:33,TB148,8400,Rev C,3,2,1876.873333,
23/12/2021 10:33,TB149,8400,Rev C,4,999,5.3,
23/12/2021 10:33,TB150,8400,Rev C,4,1,1867.54,
26/12/2021 12:19,TB151,13800,Rev A,3,999,13.6,
